Participaciones,Vistas,Horas,%Avance del curso,Nombre alumno,Matricula,Global Actividad 1,Global Actividad 2,Global Actividad 3,Global Actividad 4,Actividad 1,Actividad 2,Actividad 3,Actividad 4,Actividad 5,Actividad 6,Quiz 1,Actividad 7,Quiz 2,Quiz 3,Fase 1,Fase 2,Fase 3,Fase 4,Evidencia 1,Evidencia 2,Final,Completadas,Faltantes
13,695,06:41:51,34,NA,A00000001,100,100,,,90,0,0,0,,,100,,,,,,,,,,10.8,4,17
16,1357,09:56:54,34,NA,A00000002,100,80,,,90,92,100,35,,,0,,,,,,,,,,11.09,6,15
26,1241,07:42:47,34,NA,A00000003,100,100,,,90,0,100,100,,,93.33,,,,,,,,,,17.53,7,14
22,1961,21:48:22,34,NA,A00000004,100,100,,,90,100,100,100,,,98.33,,,,,,,,,,19.73,8,13
18,650,04:54:30,34,NA,A00000005,100,0,,,90,95,90,80,,,90,,,,,,,,,,13.5,6,15
20,554,04:48:19,34,NA,A00000006,0,0,,,100,75,90,0,,,82.5,,,,,,,,,,8.6,4,17
21,801,22:08:57,34,NA,A00000007,90,95,,,90,94,100,97,,,91.67,,,,,,,,,,16.91,7,14
23,591,08:03:53,34,NA,A00000008,100,100,,,100,100,75,100,,,100,,,,,,,,,,19.5,8,13
17,246,01:29:36,34,NA,A00000009,80,0,,,80,85,50,0,,,75,,,,,,,,,,8.9,5,16
23,757,14:44:51,34,NA,A00000010,100,100,,,90,100,100,100,,,93.33,,,,,,,,,,17.53,7,14
10,301,06:46:27,34,NA,A00000011,0,0,,,0,100,0,0,,,85,,,,,,,,,,5.4,2,19
18,695,06:00:54,34,NA,A00000012,0,0,,,80,100,100,100,,,98.33,,,,,,,,,,12.53,5,16
22,1284,18:34:22,34,NA,A00000013,100,0,,,90,100,100,86,,,88.33,,,,,,,,,,13.91,6,15
22,851,08:26:57,34,NA,A00000014,0,0,,,90,100,100,,,,85,,,,,,,,,,11.2,5,16
18,773,03:38:14,34,NA,A00000015,100,100,,,90,75,50,35,,,98.33,,,,,,,,,,14.68,8,13
23,1114,08:06:57,34,NA,A00000016,100,100,,,90,100,100,100,,,98.33,,,,,,,,,,19.73,8,13
22,451,08:21:11,34,NA,A00000017,100,,,,90,100,100,80,,,80,,,,,,,,,,13.4,6,15
23,2221,15:03:50,34,NA,A00000018,100,100,,,90,0,100,100,,,85,,,,,,,,,,15.2,6,15
20,911,03:38:59,34,NA,A00000019,80,0,,,90,75,0,0,,,80,,,,,,,,,,9.6,5,16
22,1278,06:28:24,34,NA,A00000020,0,100,,,90,100,100,100,,,85,,,,,,,,,,17.2,7,14
26,2449,14:12:47,34,NA,A00000021,100,,,,90,100,100,100,,,93.33,,,,,,,,,,14.53,6,15
15,491,02:42:05,34,NA,A00000022,0,75,,,90,82,0,0,,,88.33,,,,,,,,,,9.22,4,17
20,753,15:21:38,34,NA,A00000023,100,0,,,90,0,95,90,,,95,,,,,,,,,,14.2,6,15
22,1701,34:43:17,34,NA,A00000024,100,100,,,90,100,100,100,,,100,,,,,,,,,,17.8,7,14
26,564,06:48:46,34,NA,A00000025,100,100,,,100,85,100,90,,,90,,,,,,,,,,19,8,13
17,579,14:01:27,34,NA,A00000026,100,0,,,62.5,100,90,100,,,85,,,,,,,,,,13.45,6,15
25,675,06:55:24,34,NA,A00000027,0,,,,90,100,87.5,0,,,83.33,,,,,,,,,,8.88,4,17
21,697,18:56:25,34,NA,A00000028,0,0,,,100,0,100,75,,,85,,,,,,,,,,9.65,4,17
26,738,06:01:10,34,NA,A00000029,70,0,,,62.5,94,0,25,,,90,,,,,,,,,,8.88,5,16
21,791,03:19:56,34,NA,A00000030,0,,,,90,100,100,0,,,90.83,,,,,,,,,,9.43,4,17
17,949,13:33:00,34,NA,A00000031,97,100,,,80,90,100,80,,,85,,,,,,,,,,17.14,8,13
19,540,11:15:55,34,NA,A00000032,100,100,,,87.5,100,100,100,,,90,,,,,,,,,,17.35,7,14
24,1250,26:09:36,34,NA,A00000033,100,100,,,90,100,100,100,,,100,,,,,,,,,,17.8,7,14
27,1082,30:27:09,34,NA,A00000034,100,100,,,90,100,100,100,,,95,,,,,,,,,,19.6,8,13
22,1664,12:10:41,34,NA,A00000035,100,100,,,90,100,100,100,,,90,,,,,,,,,,19.4,8,13
21,687,14:25:58,34,NA,A00000036,80,100,,,90,100,100,100,,,88.33,,,,,,,,,,16.93,7,14
25,949,15:39:46,34,NA,A00000037,100,100,,,100,100,100,55,,,90,,,,,,,,,,18.25,8,13
19,813,07:04:08,34,NA,A00000038,100,100,,,90,100,100,100,,,88.33,,,,,,,,,,17.33,7,14
58,1143,15:05:20,34,NA,A00000039,0,0,,,90,100,100,100,,,100,,,,,,,,,,12.8,5,16
22,594,43:17:16,34,NA,A00000040,100,0,,,50,75,0,0,,,61.67,,,,,,,,,,6.97,4,17
19,612,14:55:27,34,NA,A00000041,100,,,,90,100,100,100,,,95,,,,,,,,,,14.6,6,15
21,691,05:57:11,34,NA,A00000042,0,0,,,95,90,70,70,,,90,,,,,,,,,,10.8,5,16
14,479,09:55:48,34,NA,A00000043,0,100,,,0,100,100,90,,,83.33,,,,,,,,,,13.03,5,16
25,877,05:32:06,34,NA,A00000044,80,100,,,90,96,100,100,,,90,,,,,,,,,,18.92,8,13
22,836,13:37:47,34,NA,A00000045,100,100,,,70,100,100,100,,,78.33,,,,,,,,,,18.53,8,13
27,988,03:51:11,34,NA,A00000046,100,100,,,90,96,100,100,,,95,,,,,,,,,,19.02,8,13
4,694,17:46:04,34,NA,A00000047,0,0,,,0,0,100,100,,,0,,,,,,,,,,5,2,19
28,556,04:28:55,34,NA,A00000048,0,100,,,80,94,100,50,,,90,,,,,,,,,,15.08,7,14
26,825,05:39:41,34,NA,A00000049,100,100,,,90,96,100,50,,,73.33,,,,,,,,,,15.15,7,14
